〜あっての	~이 있기에	名詞 + あっての + 名詞	condition
〜あまり	~너무 ~한 나머지	名詞の / 動詞辞書形・た形 + あまり	reason
〜いかんで	~여하에 따라	名詞(の) + いかんで / いかんによって	condition
〜いかんにかかわらず	~여하에 관계없이	名詞(の) + いかんにかかわらず	condition
〜いかんによらず	~여하에 관계없이	名詞 + のいかんによらず / 名詞 + のいかんにかかわらず	condition
〜いたしかねます	~하기 어렵습니다 (정중 거절)	動詞ます形 + いたしかねます	formal
〜うか〜まいか	~할지 말지	動詞意向形 + か + 同動詞辞書形 + まいか	conjecture
〜うと〜まいと	~하든 안 하든	動詞意向形 + と + 動詞辞書形 + まいと	contrast
〜かたがた	~할 겸, 겸사겸사	名詞 + かたがた	formal
〜かたわら	~하는 한편으로	動詞辞書形 + かたわら / 名詞 + の + かたわら	manner
〜がてら	~하는 김에	動詞ます形(ますを取る) + がてら / 名詞 + がてら	manner
〜かと思うと	~했나 싶더니 (바로)	動詞た形 + かと思うと / かと思ったら	time
〜かねない	~할 수도 있다 (우려)	動詞ます形 + かねない	conjecture
〜かのように	마치 ~인 듯이	普通形 + かのように / かのような	manner
〜からある	자그마치 ~나 되는	数量名詞 + からある	degree
〜が最後	일단 ~하면 (끝장)	動詞た形 + が最後	condition
〜が早いか	~하자마자	動詞辞書形 + が早いか	time
〜が関の山	고작 ~정도가 한계	名詞 / 動詞辞書形 + が関の山	degree
〜きっての	~중 으뜸가는	名詞 + きっての + 名詞	degree
〜きらいがある	~하는 경향이 있다(부정적)	動詞辞書形 / 名詞の + きらいがある	manner
〜きり	~한 채 (그대로)	動詞た形 + きり	time
〜くらいのものだ	고작 ~정도다 / ~정도밖에 없다	名詞 / 動詞辞書形 + くらいのものだ	degree
〜ぐるみ	~전체 / 통째로	名詞 + ぐるみ	manner
〜こそあれ	~야 있을지언정	名詞 / 形容詞 + こそあれ	contrast
〜こそすれ	~하기는 해도 (결코 ~않다)	動詞ます形 / 名詞 + こそすれ	contrast
〜ことか	얼마나 ~한가	疑問詞 + 普通形 + ことか	emphasis
〜ごとき	~와 같은 / ~따위	名詞の / 動詞た形 + ごとき(名詞) / ごとく(動詞)	manner
〜こととて	~인지라 / ~이라서	名詞の / 普通形 + こととて	reason
〜ことと思う	~하실 것으로 생각합니다 (격식 추측)	普通形 + ことと思います	formal
〜ことなしに	~하지 않고는	動詞辞書形 + ことなしに	manner
〜ずくめ	~일색 / 온통 ~	名詞 + ずくめ	manner
〜ずじまい	결국 ~하지 못하고 (말다)	動詞ない形 + ずじまい	manner
〜ずにはいられない	~하지 않을 수 없다	動詞ない形(ないを取る) + ずにはいられない / する → せずにはいられない	emphasis
〜ずにはおかない	반드시 ~하고야 만다	動詞ない形 + ずにはおかない	emphasis
〜ずにはすまない	~하지 않고는 끝나지 않는다	動詞ない形の語幹 + ずにはすまない	emphasis
〜すら	~조차	名詞(+助詞) + すら	emphasis
〜そばから	~하는 족족 / ~하기가 무섭게	動詞辞書形 / た形 + そばから	time
〜だけあって	~인 만큼 (역시)	普通形 / 名詞 + だけあって	reason
〜だけのことはある	과연 ~답다 / ~한 보람이 있다	普通形 / 名詞 + だけのことはある	reason
〜たところで	~해 봤자	動詞た形 + ところで	contrast
〜たとて	~했다 한들	動詞た形 + とて	contrast
〜だに	~조차 / ~만 해도	名詞 / 動詞辞書形 + だに	emphasis
〜だの〜だの	~라느니 ~라느니	名詞 / 普通形 + だの + 〜だの	listing
〜たらそれまでだ	~하면 그걸로 끝이다	動詞た形 + らそれまでだ	condition
〜たりとも	~조차도 (안)	数詞(一) ＋ 助数詞 ＋ たりとも	emphasis
〜たりとも〜ない	단 ~조차도 ~않다	数量詞 + たりとも + 否定形	emphasis
〜たる	~된 (자) / ~인 자	名詞 + たる + 名詞	manner
〜たるや	~로 말할 것 같으면 (그 정도가)	名詞 + たるや	emphasis
〜た手前	~한 이상 / ~한 체면상	動詞た形 / 辞書形 + 手前	reason
〜つ〜つ	~하거니 ~하거니	動詞ます形 + つ + 動詞ます形 + つ	manner
〜であれ	~든 / ~라 해도	名詞 + であれ	contrast
〜であれ〜であれ	~든 ~든	名詞 + であれ + 名詞 + であれ	contrast
〜であろうと	~라 할지라도	名詞 / な形 + であろうと	contrast
〜であろうとなかろうと	~든 아니든	名詞 + であろうとなかろうと	contrast
