～に先立って	にさきだって	~에 앞서	표현
～に即して	にそくして	~에 입각하여	표현
～をもって	をもって	~으로써, ~을 가지고	표현
～を踏まえて	をふまえて	~을 근거로, ~에 기반하여	표현
SNS	えすえぬえす	SNS, 소셜 미디어	명사
あいにく	あいにく	공교롭게도, 안타깝게도	부사
アウトソーシング	アウトソーシング	아웃소싱, 외주	명사
アカウンタビリティ	アカウンタビリティ	책임성, 설명 책임	명사
あくまで	あくまで	어디까지나, 끝까지	부사
あくまでも	あくまでも	어디까지나, 끝까지	부사
アジェンダ	アジェンダ	의제, 안건 목록	명사
あたかも	あたかも	마치	부사
あながち	あながち	반드시 (〜ない의 형태로) 꼭 그렇지도 않다	부사
あらかじめ	あらかじめ	미리, 사전에	부사
あらかた	あらかた	대충, 거의 다	부사
ありありと	ありありと	역력히, 생생하게 (과거의 기억 등이 눈앞에 떠오르는 모양)	부사
あるいは	あるいは	혹은, 또는, 어쩌면	접속사
あろうことか	あろうことか	어처구니없게도, 하필이면	부사
いかなる	いかなる	어떠한, 어떤	연체사
いかに	いかに	얼마나, 어떻게	부사
いかにも	いかにも	아무래도, 정말로	부사
いかんせん	いかんせん	어찌할 도리가 없이	부사
いずれにせよ	いずれにせよ	어쨌든, 어느 쪽이든 간에	접속사
いたって	いたって	지극히, 매우, 대단히	부사
いたましい	いたましい	안타깝다, 가슴 아프다	い형용사
いっそ	いっそ	차라리, 아예	부사
イニシアチブ	イニシアチブ	이니셔티브, 주도권	명사
イノベーション	イノベーション	이노베이션, 혁신	명사
いわば	いわば	말하자면, 이를테면	부사
いわゆる	いわゆる	이른바, 소위	연체사
いわんや	いわんや	하물며, 더구나 (~いわんや～をや)	부사
インセンティブ	インセンティブ	인센티브, 유인책	명사
インフラ	インフラ	인프라, 기반 시설	명사
うかうか	うかうか	멍하니, 방심하여, 엉겁결에	부사
うっとうしい	うっとうしい	답답함, 음울함	形容詞
うろうろ	うろうろ	어슬렁어슬렁, 우왕좌왕 (목적 없이 돌아다니는 모양)	부사
うんざり	うんざり	진저리 나다, 질리다	부사
エコシステム	エコシステム	생태계, 비즈니스 생태계	명사
エビデンス	エビデンス	증거, 근거, 에비던스	명사
おおむね	おおむね	대체로, 대개	부사
おしなべて	おしなべて	대체로, 고르게, 한결같이	부사
おのずから	おのずから	저절로, 자연스럽게	부사
おのずと	おのずと	저절로, 자연히	부사
おびただしい	おびただしい	엄청나다, 막대하다	い형용사
おめでたい	おめでたい	경사스럽다, 축하할 만하다	い형용사
おもむろに	おもむろに	천천히, 침착하게	부사
かえすがえす	かえすがえす	거듭거듭, 몇 번이고	副詞
かかわらず	かかわらず	~에 상관없이, ~을 불문하고	접속사
かたくなに	かたくなに	완고하게, 고집스럽게	부사
かたわら	かたわら	한편, 곁에서, ~하면서	접속사
かつ	かつ	또한, 동시에 (문어)	접속사
かつかつ	かつかつ	간신히, 빠듯하게	부사
かつて	かつて	일찍이, 예전에	부사
かねがね	かねがね	전부터, 예전부터	부사
かねて	かねて	이전부터, 미리	부사
かねてから	かねてから	오래전부터, 예전부터	부사
ガバナンス	ガバナンス	거버넌스, 지배 구조	명사
がらりと	がらりと	확 바뀌어, 갑자기 변하여	부사
かろうじて	かろうじて	간신히, 가까스로	부사
ぎこちない	ぎこちない	어색하다, 서투르다	い형용사
きっぱり	きっぱり	단호하게, 딱 잘라서	부사
キャパシティ	キャパシティ	수용 능력, 역량	명사
ぐずぐず	ぐずぐず	꾸물꾸물, 뭉그적뭉그적	부사
くっきり	くっきり	뚜렷이, 선명하게 (윤곽이 또렷한 모양)	부사
ぐっと	ぐっと	꾹, 확 (힘·감정)	부사
クライテリア	クライテリア	기준, 판단 근거 (criteria)	명사
グローバリゼーション	グローバリゼーション	세계화, 글로벌화	명사
コアコンピタンス	コアコンピタンス	핵심 역량	명사
こぞって	こぞって	모두, 일제히	부사
こそばゆい	こそばゆい	간지러움, 쑥스러움	形容詞
ことごとく	ことごとく	모조리, 남김없이	부사
ことに	ことに	특히, 더욱이	부사
ことのほか	ことのほか	의외로, 각별히	부사
ゴミ問題	ごみもんだい	쓰레기 문제	명사
コモディティ	コモディティ	일반 상품, 범용화	명사
こんこん	こんこん	콜록콜록 (기침 소리), 깊이 잠든 모양	부사
コンセンサス	コンセンサス	합의, 컨센서스	명사
コンプライアンス	コンプライアンス	컴플라이언스, 법령 준수	명사
さしずめ	さしずめ	우선, 아무튼	부사
サステナビリティ	サステナビリティ	지속 가능성	명사
さっさと	さっさと	빨리빨리, 쓱쓱	부사
さながら	さながら	마치 ~같이, 그대로	부사
さる	さる	어떤, 특정한 (사람·것)	연체사
しかしながら	しかしながら	그러나, 하지만 (격식체)	부사
しきりに	しきりに	자꾸, 연신, 끊임없이	부사
したうえで	したうえで	~한 다음에, ~하고 나서	접속사
シナジー	シナジー	시너지, 상승 효과	명사
しなやかな	しなやかな	유연하다, 탄력 있다, 부드럽다	な형용사
シナリオ	シナリオ	시나리오, 각본	명사
しぶとい	しぶとい	질기다, 끈질기다	い형용사
しみじみ	しみじみ	찬찬히, 진심으로 (감회가 깊이 스며드는 모양)	부사
ジレンマ	ジレンマ	딜레마, 진퇴양난	명사
じわじわ	じわじわ	서서히, 천천히 스며들듯 (점점 퍼지거나 증가하는 모양)	부사
スキーム	スキーム	계획, 구조, 제도	명사
スクープ	すくーぷ	특종	명사
すこぶる	すこぶる	대단히, 몹시	부사
